type,name,latitude_deg,longitude_deg,iso_country,scheduled_service,iata_code
large_airport,Malabo International Airport,3.75527,8.70872,GQ,yes,SSG
large_airport,Sharm El Sheikh International Airport,27.977272,34.394717,EG,yes,SSH
medium_airport,"Sandnessjøen Airport, Stokka",65.956802,12.4689,NO,yes,SSJ
small_airport,Sara Airport,-15.4708003998,168.151992798,VU,yes,SSR
medium_airport,Santa Teresita Airport,-36.5423,-56.7218,AR,yes,SST
small_airport,Stuart Island Airpark,48.673379,-123.175439,US,yes,SSW
medium_airport,Mbanza Congo Airport,-6.269899845123291,14.246999740600586,AO,yes,SSY
medium_airport,Saint Cloud Regional Airport,45.5466,-94.059898,US,yes,STC
medium_airport,Mayor Buenaventura Vivas International Airport,7.56538,-72.035103,VE,yes,STD
medium_airport,St George Airport,56.577345,-169.663823,US,yes,STG
large_airport,Cibao International Airport,19.40406,-70.604431,DO,yes,STI
large_airport,St. Louis Lambert International Airport,38.748697,-90.370003,US,yes,STL
medium_airport,Santarém - Maestro Wilson Fonseca International Airport,-2.422423,-54.79306,BR,yes,STM
large_airport,London Stansted Airport,51.884998,0.235,GB,yes,STN
large_airport,Stuttgart Airport,48.689899,9.22196,DE,yes,STR
medium_airport,Charles M. Schulz Sonoma County Airport,38.50899887,-122.8130035,US,yes,STS
large_airport,Cyril E. King Airport,18.337091,-64.977251,VI,yes,STT
large_airport,Surat International Airport,21.115531,72.743251,IN,yes,STV
medium_airport,Stavropol Shpakovskoye Airport,45.10919952392578,42.11280059814453,RU,yes,STW
medium_airport,Henry E. Rohlsen Airport,17.701413,-64.802608,VI,yes,STX
large_airport,Juanda International Airport,-7.37983,112.787003,ID,yes,SUB
large_airport,Lamezia Terme Sant'Eufemia International Airport,38.906214,16.246007,IT,yes,SUF
medium_airport,Surigao Airport,9.755838325629998,125.480947495,PH,yes,SUG
medium_airport,Vladislav Ardzinba Sukhum International Airport,42.8582,41.128101,GE,yes,SUI
medium_airport,Satu Mare International Airport,47.7033,22.8857,RO,yes,SUJ
small_airport,Sakkyryr Airport,67.792,130.394,RU,yes,SUK
medium_airport,Friedman Memorial Airport,43.50439835,-114.2959976,US,yes,SUN
small_airport,Summer Beaver Airport,52.70859909057617,-88.54190063476562,CA,yes,SUR
large_airport,Nausori International Airport,-18.044226,178.561486,FJ,yes,SUV
medium_airport,Sioux Gateway Airport / Brigadier General Bud Day Field,42.397605,-96.382237,US,yes,SUX
small_airport,Suntar Airport,62.185001373291,117.63500213623,RU,yes,SUY
medium_airport,Savoonga Airport,63.686401,-170.492996,US,yes,SVA
medium_airport,Sambava Airport,-14.2786,50.174702,MG,yes,SVB
medium_airport,Grant County Airport,32.636701,-108.154736,US,yes,SVC
large_airport,Argyle International Airport,13.159725,-61.148801,VC,yes,SVD
large_airport,"Stavanger Airport, Sola",58.876701,5.63778,NO,yes,SVG
